,타워빌리지,타워부메랑고,타워래프트,교차점1,와일드리버풀,교차점2,와일드리버,아쿠아루프,흡연구역1,래프트빌리지,교차점3,키디풀,키디빌리지,스파빌리지,아쿠아틱센터,바하마,라커,산후앙,봅슬레이빌리지,어드벤처빌리지,교차점5,서핑라이드,교차점6,미라클스파,흡연구역2,교차점4,흡연구역3,교차점7,유수풀,어드벤처풀,흡연구역4,캐슬빌리지,메가스톰,교차점8,슬라이드빌리지,카리브스테이지,흡연구역5,웨이브빌리지1,종합대여소,씨웨이브,웨이브빌리지2,교차점9,자켓대여소,라코스타,실외라커동
타워빌리지,999999,999999,999999,37,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
타워부메랑고,999999,999999,999999,47,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
타워래프트,999999,999999,999999,54,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
교차점1,37,47,54,999999,33,999999,999999,999999,70,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
와일드리버풀,999999,999999,999999,33,999999,25,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
교차점2,999999,999999,999999,999999,25,999999,43,27,999999,999999,999999,999999,19,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
와일드리버,999999,999999,999999,999999,999999,43,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
아쿠아루프,999999,999999,999999,999999,999999,27,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
흡연구역1,999999,999999,999999,70,999999,999999,999999,999999,999999,50,34,13,62,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
래프트빌리지,999999,999999,999999,999999,999999,999999,999999,999999,50,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
교차점3,999999,999999,999999,999999,999999,999999,999999,999999,34,999999,999999,999999,999999,999999,999999,999999,999999,54,72,25,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
